ShipmentID,OriginLocation,DestinationLocation,ShipmentDateTime,ExpectedArrivalDateTime,ShipmentStatus,ShipperId,ConsigneeId,ShipmentType,ContentsDescription,ReferTempMax,ReferTempMin
SP-3704,Chicago WH,Nashville WH,2023-09-03 09:34:56,2023-10-24 03:29:26,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Fully-configurable local capacity,101,17
SP-1580,Miami WH,New Orleans WH,2023-09-15 23:59:13,2023-10-06 10:45:31,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Re-engineered real-time pricing structure,55,33
SP-8803,Miami WH,Nashville WH,2023-09-17 22:00:23,2023-10-04 12:35:30,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Robust neutral synergy,61,21
SP-3998,Durham WH,Miami WH,2023-09-20 15:59:38,2023-10-05 10:27:13,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Fully-configurable bandwidth-monitored protocol,46,40
SP-7187,New Orleans WH,Atlanta WH,2023-09-28 00:02:30,2023-10-29 14:51:36,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,User-friendly maximized monitoring,48,17
SP-9078,Atlanta WH,Durham WH,2023-09-09 05:45:20,2023-10-02 10:01:16,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Future-proofed upward-trending hardware,43,25
SP-0326,Durham WH,Atlanta WH,2023-09-06 09:49:28,2023-10-07 19:17:13,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Secured value-added alliance,118,25
SP-5802,Durham WH,Detroit WH,2023-09-02 20:00:36,2023-10-29 11:05:41,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Centralized fault-tolerant extranet,106,37
SP-1821,Miami WH,Miami WH,2023-09-14 00:27:00,2023-10-14 21:28:17,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Fully-configurable content-based standardization,92,23
SP-5948,Detroit WH,Detroit WH,2023-09-18 12:43:09,2023-10-28 10:32:42,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Mandatory content-based superstructure,60,31
SP-4083,New Orleans WH,New Orleans WH,2023-09-08 03:50:37,2023-10-16 21:49:53,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Enterprise-wide homogeneous implementation,61,23
SP-8080,Durham WH,Durham WH,2023-09-28 09:24:49,2023-10-15 03:41:27,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Managed 24 hour policy,112,22
SP-0201,Nashville WH,Chicago WH,2023-09-13 21:48:03,2023-10-14 04:37:51,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Synergized holistic synergy,84,25
SP-7727,Durham WH,Durham WH,2023-09-15 20:12:59,2023-10-20 00:56:11,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Quality-focused uniform portal,84,20
SP-8946,Miami WH,Durham WH,2023-09-19 02:45:06,2023-10-18 00:04:16,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Upgradable incremental moratorium,89,25
SP-8518,Atlanta WH,Nashville WH,2023-09-23 05:30:05,2023-10-17 06:09:21,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Digitized multi-tasking concept,104,25
SP-3306,Detroit WH,Atlanta WH,2023-09-09 16:02:54,2023-10-11 12:37:21,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Cross-group bifurcated architecture,94,24
SP-2860,Atlanta WH,Durham WH,2023-09-13 19:43:01,2023-10-14 12:04:34,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Optimized homogeneous approach,95,22
SP-4698,Nashville WH,Durham WH,2023-09-19 08:40:34,2023-10-02 06:26:26,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Customizable intermediate frame,104,12
SP-9696,Durham WH,Atlanta WH,2023-09-09 08:14:49,2023-10-20 22:20:58,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,User-friendly responsive encoding,93,23
SP-3293,Miami WH,Detroit WH,2023-09-05 00:14:54,2023-10-20 14:20:35,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Fundamental bi-directional challenge,65,25
SP-5324,Chicago WH,Nashville WH,2023-09-14 14:59:49,2023-10-29 00:41:31,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Down-sized value-added algorithm,103,32
SP-4770,Miami WH,New Orleans WH,2023-09-25 15:00:58,2023-10-18 23:42:44,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Customizable executive archive,107,28
SP-8679,Atlanta WH,Detroit WH,2023-09-14 14:53:00,2023-10-09 23:39:53,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Open-source non-volatile challenge,82,18
SP-5902,New Orleans WH,Miami WH,2023-09-16 04:26:32,2023-10-07 20:25:18,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Visionary intermediate protocol,52,28
SP-2994,Detroit WH,Miami WH,2023-09-06 10:11:33,2023-10-07 20:42:28,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Robust transitional secured line,54,21
SP-7988,Nashville WH,Miami WH,2023-09-05 00:27:45,2023-10-06 12:40:33,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Operative transitional matrix,119,33
SP-0716,Miami WH,New Orleans WH,2023-09-02 11:02:47,2023-10-05 10:04:26,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Virtual motivating circuit,89,41
SP-5820,Nashville WH,Atlanta WH,2023-09-29 20:50:00,2023-10-07 06:40:06,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Programmable fault-tolerant application,47,41
SP-3933,Nashville WH,Chicago WH,2023-09-19 11:20:39,2023-10-11 06:29:57,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Face to face actuating flexibility,80,13
SP-5115,Durham WH,New Orleans WH,2023-09-28 16:22:09,2023-10-12 03:59:59,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Inverse directional help-desk,77,16
SP-9339,Nashville WH,Durham WH,2023-09-08 17:33:41,2023-10-23 18:19:43,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Upgradable holistic portal,94,37
SP-5488,Atlanta WH,Chicago WH,2023-09-15 18:48:58,2023-10-07 19:15:18,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Switchable client-driven matrices,50,19
SP-1613,Atlanta WH,Nashville WH,2023-09-16 03:57:44,2023-10-20 08:44:54,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Customizable 6th generation moderator,64,21
SP-7213,Durham WH,Detroit WH,2023-09-04 11:38:46,2023-10-09 20:54:18,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,User-friendly scalable knowledge user,91,14
SP-5963,Nashville WH,Nashville WH,2023-09-03 20:44:40,2023-10-28 18:13:38,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Grass-roots dedicated data-warehouse,91,21
SP-5084,Chicago WH,Chicago WH,2023-09-16 14:36:10,2023-10-03 11:20:47,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Stand-alone optimizing definition,80,32
SP-9339,Nashville WH,Atlanta WH,2023-09-17 14:18:12,2023-10-12 04:00:07,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Compatible bi-directional challenge,53,16
SP-0714,Atlanta WH,Miami WH,2023-09-21 04:23:08,2023-10-09 05:05:01,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Compatible responsive secured line,89,21
SP-8906,Nashville WH,Chicago WH,2023-09-11 20:42:43,2023-10-24 03:11:12,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Reactive contextually-based info-mediaries,44,16
SP-6112,Nashville WH,Nashville WH,2023-09-17 21:55:53,2023-10-02 05:24:44,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Balanced mobile superstructure,115,34
SP-1917,Durham WH,Detroit WH,2023-09-10 09:23:22,2023-10-30 06:00:35,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Advanced maximized function,80,17
SP-6573,Nashville WH,New Orleans WH,2023-09-11 04:28:21,2023-10-30 19:33:58,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,User-centric asymmetric focus group,114,36
SP-4595,New Orleans WH,Atlanta WH,2023-09-08 14:27:50,2023-10-18 22:24:38,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Advanced tangible access,93,14
SP-6278,Miami WH,Durham WH,2023-09-19 03:15:56,2023-10-24 23:08:38,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Ergonomic secondary policy,114,24
SP-1633,Atlanta WH,Nashville WH,2023-09-26 19:29:29,2023-10-04 21:31:59,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Function-based 3rd generation matrices,97,39
SP-2255,Miami WH,Detroit WH,2023-09-14 03:15:29,2023-10-16 08:01:37,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Profound client-server circuit,62,32
SP-8840,Detroit WH,New Orleans WH,2023-09-16 01:34:36,2023-10-21 14:05:22,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Function-based asynchronous utilisation,77,23
SP-1919,Nashville WH,Chicago WH,2023-09-18 21:14:24,2023-10-08 06:51:39,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Public-key methodical toolset,65,12
SP-1832,Atlanta WH,Miami WH,2023-09-06 17:19:19,2023-10-04 11:04:18,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Front-line local process improvement,64,22
SP-8276,Durham WH,Miami WH,2023-09-16 09:29:30,2023-10-05 22:45:23,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Adaptive human-resource toolset,103,24
SP-5074,Miami WH,Nashville WH,2023-09-26 06:08:48,2023-10-10 08:39:51,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Stand-alone logistical productivity,78,20
SP-2389,New Orleans WH,Chicago WH,2023-09-25 06:01:05,2023-10-15 06:07:27,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Monitored responsive challenge,47,30
SP-5257,Detroit WH,New Orleans WH,2023-09-20 07:42:08,2023-10-23 04:33:46,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Implemented bi-directional challenge,46,14
SP-2696,Miami WH,Chicago WH,2023-09-16 08:26:06,2023-10-26 04:03:13,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Quality-focused eco-centric definition,67,20
SP-7577,Miami WH,Detroit WH,2023-09-11 17:06:26,2023-10-04 18:52:59,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Triple-buffered bi-directional middleware,92,36
SP-7341,Chicago WH,Nashville WH,2023-09-21 15:11:39,2023-10-26 01:59:38,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Focused logistical structure,44,21
SP-4457,New Orleans WH,Durham WH,2023-09-14 13:05:37,2023-10-18 00:04:56,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Future-proofed real-time budgetary management,113,37
SP-8359,Atlanta WH,New Orleans WH,2023-09-12 04:33:19,2023-10-02 00:59:59,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Enterprise-wide fresh-thinking task-force,60,31
SP-8009,Nashville WH,New Orleans WH,2023-09-29 01:48:35,2023-10-23 17:57:42,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Visionary user-facing project,115,17
SP-8919,Chicago WH,Nashville WH,2023-09-01 15:22:55,2023-10-23 10:45:40,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Total non-volatile help-desk,112,24
SP-5323,Nashville WH,Durham WH,2023-09-25 05:05:17,2023-10-28 19:58:57,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Adaptive context-sensitive open system,95,16
SP-9170,Chicago WH,Atlanta WH,2023-09-07 04:19:41,2023-10-22 21:20:31,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Diverse systematic extranet,120,17
SP-4632,Nashville WH,New Orleans WH,2023-09-09 09:36:10,2023-10-02 06:19:29,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Multi-lateral maximized process improvement,53,39
SP-5418,Chicago WH,New Orleans WH,2023-09-29 08:06:53,2023-10-12 05:38:05,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,De-engineered empowering workforce,111,17
SP-9808,Chicago WH,Chicago WH,2023-09-23 01:12:13,2023-10-15 11:07:58,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Balanced bandwidth-monitored definition,63,33
SP-7195,Nashville WH,Detroit WH,2023-09-09 13:39:57,2023-10-09 09:52:50,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Cross-group contextually-based customer loyalty,95,42
SP-2220,Nashville WH,Miami WH,2023-09-12 15:38:14,2023-10-17 02:40:28,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Organized scalable workforce,57,12
SP-4284,Nashville WH,Nashville WH,2023-09-19 13:45:00,2023-10-17 07:35:45,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Quality-focused zero defect adapter,65,29
SP-7045,New Orleans WH,Chicago WH,2023-09-17 20:45:42,2023-10-30 07:51:12,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Stand-alone motivating moratorium,120,26
SP-3740,Chicago WH,New Orleans WH,2023-09-12 03:52:31,2023-10-09 23:17:03,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Operative actuating service-desk,71,32
SP-4524,Atlanta WH,Chicago WH,2023-09-27 04:33:47,2023-10-24 13:04:30,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Stand-alone interactive superstructure,112,35
SP-3986,Durham WH,Detroit WH,2023-09-11 20:12:10,2023-10-10 12:28:47,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Innovative needs-based throughput,43,18
SP-3537,Atlanta WH,New Orleans WH,2023-09-11 14:44:04,2023-10-01 13:25:11,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Profit-focused systematic initiative,103,15
SP-8015,Atlanta WH,Detroit WH,2023-09-08 08:38:50,2023-10-26 01:16:21,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Optional real-time instruction set,117,33
SP-7499,Atlanta WH,Atlanta WH,2023-09-14 11:22:28,2023-10-24 15:47:40,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Progressive zero defect budgetary management,89,42
SP-4507,Atlanta WH,Nashville WH,2023-09-16 14:14:48,2023-10-21 02:53:37,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Profit-focused dynamic budgetary management,105,24
SP-6068,Atlanta WH,Atlanta WH,2023-09-05 11:54:14,2023-10-16 02:20:11,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,De-engineered leading edge conglomeration,82,24
SP-8049,New Orleans WH,Miami WH,2023-09-15 19:53:18,2023-10-11 20:35:52,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Visionary regional complexity,108,22
SP-9455,Atlanta WH,New Orleans WH,2023-09-26 03:34:23,2023-10-26 16:30:36,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Fully-configurable local workforce,74,22
SP-6892,Detroit WH,Nashville WH,2023-09-15 09:53:34,2023-10-22 14:13:02,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Right-sized discrete concept,105,14
SP-4330,Detroit WH,Chicago WH,2023-09-21 18:20:48,2023-10-08 20:04:18,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Future-proofed impactful approach,116,33
SP-0443,New Orleans WH,Miami WH,2023-09-15 15:39:35,2023-10-17 08:43:26,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Quality-focused encompassing internet solution,79,36
SP-1852,Chicago WH,New Orleans WH,2023-09-26 14:29:29,2023-10-11 07:18:57,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Reverse-engineered background ability,50,29
SP-0333,New Orleans WH,New Orleans WH,2023-09-17 03:04:54,2023-10-30 16:47:02,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Sharable multimedia hardware,91,21
SP-8310,Durham WH,Nashville WH,2023-09-03 05:15:28,2023-10-07 01:15:10,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Polarised responsive attitude,47,18
SP-4272,Chicago WH,Detroit WH,2023-09-22 16:34:13,2023-10-17 13:39:59,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Enhanced zero administration budgetary management,104,31
SP-1509,Durham WH,Miami WH,2023-09-03 01:29:24,2023-10-09 08:21:08,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Ergonomic systematic support,84,34
SP-1292,New Orleans WH,Nashville WH,2023-09-01 14:51:20,2023-10-25 16:55:50,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Diverse background methodology,96,32
SP-9128,Chicago WH,Durham WH,2023-09-27 20:14:03,2023-10-25 20:40:17,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Grass-roots holistic archive,88,23
SP-4491,Detroit WH,New Orleans WH,2023-09-21 08:55:55,2023-10-01 20:52:13,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Proactive client-server array,78,18
SP-5332,Miami WH,Detroit WH,2023-09-28 13:32:17,2023-10-29 10:44:33,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Optimized exuding collaboration,66,28
SP-0501,Nashville WH,Nashville WH,2023-09-29 06:01:28,2023-10-27 08:07:43,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Operative upward-trending hierarchy,69,39
SP-5453,Miami WH,Miami WH,2023-09-04 11:48:21,2023-10-14 17:40:09,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Self-enabling clear-thinking product,120,26
SP-7948,Durham WH,Miami WH,2023-09-03 07:05:03,2023-10-03 13:35:54,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Cross-platform even-keeled definition,55,16
SP-2257,Detroit WH,Durham WH,2023-09-17 12:57:14,2023-10-05 15:46:00,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Right-sized intangible local area network,115,31
SP-6835,Atlanta WH,Miami WH,2023-09-04 20:59:17,2023-10-19 05:34:00,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Customizable motivating hierarchy,99,41
SP-0314,New Orleans WH,Detroit WH,2023-09-27 00:05:44,2023-10-29 23:05:12,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Networked zero tolerance interface,104,31
SP-1744,Durham WH,New Orleans WH,2023-09-25 15:13:45,2023-10-04 06:33:36,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Programmable bi-directional monitoring,97,34
SP-2333,Durham WH,New Orleans WH,2023-09-07 11:30:06,2023-10-16 12:59:49,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Optimized content-based approach,79,39
SP-9642,Chicago WH,Nashville WH,2023-09-07 12:03:15,2023-10-30 23:52:21,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Adaptive non-volatile protocol,105,17
SP-9702,Miami WH,Atlanta WH,2023-09-05 18:11:23,2023-10-03 14:41:28,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Open-source neutral encoding,115,15
SP-7629,Chicago WH,Atlanta WH,2023-09-12 18:18:37,2023-10-12 21:41:30,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Optional global moderator,67,23
SP-0338,New Orleans WH,Miami WH,2023-09-02 10:42:51,2023-10-16 20:59:53,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Public-key regional task-force,92,28
SP-2825,Atlanta WH,Durham WH,2023-09-02 16:24:35,2023-10-06 11:51:09,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Streamlined multi-tasking initiative,99,31
SP-3588,Detroit WH,New Orleans WH,2023-09-24 11:23:25,2023-10-16 06:59:08,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Synchronised responsive Graphic Interface,115,26
SP-7029,Chicago WH,Nashville WH,2023-09-25 13:26:45,2023-10-10 00:22:52,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Focused multimedia info-mediaries,76,41
SP-5993,Durham WH,New Orleans WH,2023-09-08 20:34:24,2023-10-10 13:02:18,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Monitored bandwidth-monitored database,77,30
