ShipmentID,OriginLocation,DestinationLocation,ShipmentDateTime,ExpectedArrivalDateTime,ShipmentStatus,ShipperId,ConsigneeId,ShipmentType,ContentsDescription
SP-7076,Meylan,Bella Vista,2023-02-16 20:08:29,2023-07-02 07:48:14,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Synergistic transitional benchmark
SP-0463,Przemyśl,Zaragoza,2022-10-28 21:43:20,2022-11-12 17:53:48,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Digitized static protocol
SP-2680,Marisol,Lecherías,2023-04-02 23:52:33,2023-08-31 21:58:25,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Object-based intangible forecast
SP-3076,Tabogon,Shuvakish,2023-07-31 23:02:30,2023-03-20 04:28:50,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Expanded 24/7 forecast
SP-7631,Cusapín,Velká Bíteš,2023-02-08 23:56:18,2023-04-21 03:38:52,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Focused zero tolerance system engine
SP-5037,Sonquil,Francisco Sarabia,2023-01-11 15:31:50,2023-09-05 19:02:29,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Digitized fault-tolerant methodology
SP-1167,Yamkino,Brvenica,2022-09-28 18:19:25,2023-01-05 12:49:51,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Configurable optimizing protocol
SP-0799,Pousada,Linshi,2022-11-17 22:10:07,2023-09-16 23:25:12,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Distributed fresh-thinking encryption
SP-5803,Coutada,Ede,2023-07-04 05:19:49,2023-04-04 14:06:18,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Expanded 5th generation structure
SP-8008,Kiamba,Thành Phố Ninh Bình,2023-02-11 10:44:24,2023-03-05 20:07:05,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Team-oriented reciprocal initiative
SP-3760,Mengyin,Batambak,2023-05-22 07:18:51,2023-05-03 09:59:47,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Inverse needs-based hub
SP-2297,Anderstorp,Butungan,2023-04-24 18:47:12,2023-01-15 00:49:32,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Cross-group national algorithm
SP-0119,Herval,Junbu,2023-06-12 01:47:58,2023-04-29 04:16:47,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Fully-configurable composite pricing structure
SP-5956,Oygon,Chakari,2023-08-21 15:12:00,2023-04-30 10:09:45,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Seamless background software
SP-4640,Pedrogão,Talisay,2023-08-20 01:28:20,2023-03-04 01:09:47,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Enterprise-wide zero tolerance focus group
SP-7720,Casal,Abéché,2022-09-26 08:21:11,2023-08-01 02:39:51,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Customer-focused client-driven capacity
SP-1568,San Ignacio de Tupile,Gračec,2022-12-18 04:03:50,2023-04-25 22:31:45,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Adaptive leading edge challenge
SP-5671,Bąków,Leidian,2023-01-09 04:54:30,2023-03-04 02:02:58,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Expanded empowering architecture
SP-2730,Is,Dongjin,2023-07-04 07:38:55,2022-10-29 00:03:59,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Intuitive incremental groupware
SP-8740,Douma,Nārang,2022-10-13 14:41:03,2023-03-23 06:46:41,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Business-focused intermediate complexity
SP-1444,Umbultanjung,Tumpang,2023-08-12 22:25:50,2023-07-01 01:20:14,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Realigned 24 hour encryption
SP-4753,Čačak,Mondim de Basto,2023-07-19 09:52:21,2023-08-10 00:36:25,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Balanced bi-directional local area network
SP-4249,Maliana,Thị Trấn Ngải Giao,2023-07-06 20:26:00,2023-08-17 03:52:52,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Innovative holistic throughput
SP-4104,Eldoret,Peuhaq,2023-03-22 00:56:42,2022-12-16 10:43:10,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Integrated asymmetric complexity
SP-2360,Ipoh,Peicheng,2022-10-23 15:53:42,2023-05-07 04:34:16,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Ergonomic global application
SP-2295,Keetmanshoop,Santo Tomas,2023-07-31 19:53:41,2022-10-23 16:16:17,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Mandatory full-range installation
SP-7989,Chakaray,Al Qābil,2023-06-17 10:26:52,2023-05-09 20:39:26,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Customizable stable open system
SP-1244,Baume-les-Dames,Bacolod,2022-10-19 01:35:12,2022-09-29 22:08:10,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Distributed bandwidth-monitored artificial intelligence
SP-8516,Baton Rouge,Malaya Purga,2023-06-28 21:43:50,2023-02-06 22:35:41,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Centralized attitude-oriented circuit
SP-8292,Bilicenii Vechi,Akoupé,2023-03-21 06:55:08,2023-07-14 21:36:42,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Decentralized 24/7 extranet
SP-3194,Laixi,Thành Phố Uông Bí,2023-06-30 17:46:06,2022-11-29 22:52:34,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Cloned neutral capability
SP-2459,Tanggulangin,Tamahú,2023-08-17 06:52:05,2023-03-01 21:55:18,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Vision-oriented fresh-thinking solution
SP-7539,Balyaga,Cingambul,2023-01-01 11:03:25,2022-10-01 11:08:08,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Centralized fresh-thinking application
SP-6082,El Peñón,Lebak,2023-07-23 20:21:46,2023-08-29 11:10:10,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Centralized holistic alliance
SP-6294,Dajin,Rixi,2022-12-18 04:51:29,2022-11-05 15:21:11,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Progressive content-based framework
SP-7249,Chaka,Mabai,2023-08-04 01:32:06,2023-05-11 04:39:01,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Re-engineered zero administration open architecture
SP-0988,Bangus Kulon,Nguékhokh,2023-07-29 03:36:20,2023-02-14 01:40:06,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Business-focused methodical parallelism
SP-1348,Yepocapa,Usquil,2022-10-08 07:04:46,2023-01-30 15:52:30,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Synchronised regional functionalities
SP-7377,Falun,Maredakamau,2023-01-29 13:28:48,2022-11-21 20:06:02,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Stand-alone heuristic solution
SP-2638,Struga,Prigi,2023-09-02 18:18:38,2022-11-02 15:48:13,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Automated zero tolerance architecture
SP-9203,Curuzú Cuatiá,Dongbian,2022-12-20 04:25:37,2022-10-12 19:48:13,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Persevering needs-based customer loyalty
SP-4225,Vysoké Mýto,Dongjiang Matoukou,2023-08-22 11:18:43,2023-04-01 13:16:37,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Secured 24/7 initiative
SP-0929,Poddębice,Kochenëvo,2022-10-11 04:46:18,2023-09-15 22:41:19,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Realigned client-driven matrix
SP-9829,Shazhou,Jinshandian,2022-12-23 21:47:23,2022-09-29 19:03:16,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Customer-focused even-keeled benchmark
SP-1870,Strzelce Krajeńskie,Kamubheka,2022-10-23 11:35:35,2023-01-20 05:46:10,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Intuitive well-modulated service-desk
SP-9030,Hankasalmi,Tiantang,2023-05-29 08:37:34,2023-03-10 08:45:25,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Total motivating parallelism
SP-4638,Yasothon,Dashuipo,2023-08-20 17:52:00,2023-07-29 20:13:49,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Advanced empowering Graphic Interface
SP-5806,Firenze,Sidaohezi,2023-05-05 04:26:40,2023-03-10 09:49:18,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Diverse 24/7 service-desk
SP-4396,Paulínia,Gangkou,2022-10-24 00:55:55,2023-02-03 02:11:13,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Multi-layered multi-state encryption
SP-6186,Poříčany,Nangka,2023-06-24 01:54:16,2022-11-12 01:39:39,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Operative multimedia hardware
SP-9150,Pingfeng,Bandhagen,2022-11-02 17:47:51,2022-12-15 09:02:16,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Reduced methodical workforce
SP-6802,Shezë,Doblas,2023-07-04 04:02:49,2022-11-06 00:47:18,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Seamless asynchronous capability
SP-0256,Loúros,San Mariano,2022-11-19 11:20:33,2023-03-24 09:20:57,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Sharable multi-tasking open architecture
SP-8053,Songhe,Karangbalong,2023-03-02 19:57:18,2023-03-07 06:21:54,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Intuitive 24 hour migration
SP-7310,Heliconia,Buenaventura,2023-05-05 20:55:22,2023-01-26 20:02:19,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Up-sized context-sensitive migration
SP-4425,Terny,Povenets,2022-12-26 14:36:16,2023-06-12 06:43:39,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Quality-focused 24/7 forecast
SP-2916,Quangang,Toubao,2023-08-26 04:48:16,2023-02-07 03:24:22,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Reactive modular instruction set
SP-5783,Kovači,Síkinos,2023-02-15 02:54:57,2022-10-10 03:18:07,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Organic 5th generation workforce
SP-2001,Luthu,Gangmei,2023-05-05 16:00:22,2023-05-29 07:02:09,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Devolved modular benchmark
SP-4303,Sokol’skoye,Gostovići,2023-09-11 22:28:02,2023-08-08 22:30:05,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Diverse homogeneous secured line
SP-9077,White Rock,Ciénaga,2023-06-09 19:00:59,2023-07-16 15:57:28,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Virtual bifurcated matrix
SP-7105,Jihui,Jintang,2023-07-01 06:37:54,2023-03-25 09:24:26,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Quality-focused 3rd generation knowledge user
SP-3380,Szlachta,Jinhe,2022-11-20 09:01:30,2022-12-15 08:49:17,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Enhanced background parallelism
SP-8776,Samdo,Sundbyberg,2023-07-20 01:14:43,2023-09-05 08:31:26,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Persevering high-level matrix
SP-6262,Guangsheng,Patzicía,2023-09-02 14:38:26,2023-03-01 09:25:55,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Versatile scalable open system
SP-3541,Mozdok,Boac,2023-02-09 19:58:39,2022-10-12 04:27:23,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Optimized explicit parallelism
SP-2823,Nabīnagar,Ekpoma,2022-10-25 19:18:24,2023-06-28 02:00:07,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Versatile systematic hierarchy
SP-4832,Hevlín,Yingshouyingzi,2023-02-04 15:20:59,2023-05-21 18:43:10,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Compatible even-keeled encryption
SP-3607,Hokor,Opaka,2023-07-27 04:27:00,2023-03-18 11:12:58,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,User-centric hybrid projection
SP-1522,Sukamanah,Marinhais,2022-12-08 00:23:12,2023-03-13 21:20:15,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Realigned contextually-based benchmark
SP-9155,Mosteiro,San Marcelino,2022-10-17 21:51:03,2022-10-23 10:50:50,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Up-sized dynamic monitoring
SP-0649,Ljusdal,Pare,2022-10-22 12:38:03,2023-04-16 16:40:47,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Fully-configurable clear-thinking intranet
SP-2169,Catumbela,Tiaong,2023-06-15 06:14:07,2023-03-29 04:37:57,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Enterprise-wide demand-driven moderator
SP-8336,Zhenping Chengguanzhen,Tobias Barreto,2023-07-04 16:35:07,2023-07-10 18:34:15,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Front-line radical firmware
SP-4282,Nässjö,Guaynabo,2023-02-04 06:51:54,2023-06-14 06:25:11,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Front-line empowering approach
SP-3147,Río Bueno,Svojat,2022-12-01 12:34:01,2023-07-05 17:58:56,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Multi-channelled reciprocal alliance
SP-1476,Da-an Sur,Liminka,2022-11-04 11:34:38,2023-08-20 23:45:17,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Vision-oriented zero tolerance superstructure
SP-3256,Binangun,Devin,2022-10-10 04:10:50,2023-02-15 09:08:53,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Ameliorated systematic capacity
SP-2443,Chipaque,Dehui,2023-01-09 02:58:15,2023-06-14 22:38:51,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,De-engineered stable projection
SP-9096,Hanyuan,Wuci,2023-09-16 02:41:05,2022-12-07 10:51:26,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Up-sized upward-trending migration
SP-0427,Manta,Hanjiaji,2022-12-28 06:34:15,2023-07-31 23:01:51,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Customizable discrete collaboration
SP-2382,Sangalhos,Mouriscas,2023-04-13 16:09:52,2022-09-29 05:28:40,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Total systemic neural-net
SP-1174,Zhongbao,Jaru,2023-02-08 12:03:10,2023-04-20 22:52:59,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Triple-buffered didactic hierarchy
SP-9884,Chemerivtsi,Ijuw,2022-10-10 00:03:22,2023-05-01 07:31:53,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Monitored regional customer loyalty
SP-6956,Ilama,Ganjiachang,2023-06-15 16:34:13,2023-03-07 13:06:30,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Synergized asynchronous interface
SP-2877,Omuo-Ekiti,Kalunan,2022-10-19 11:05:38,2022-10-08 22:17:40,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Re-contextualized intangible firmware
SP-9103,Ipoh,Pau,2023-05-20 00:36:57,2023-04-25 01:58:08,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Adaptive high-level productivity
SP-5831,Gaoling,Ipaba,2023-05-17 10:07:33,2023-03-19 17:59:38,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Self-enabling system-worthy framework
SP-6897,Hexi,Kolumbug,2023-01-11 03:47:33,2023-07-13 18:33:27,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Universal contextually-based productivity
SP-8622,Colcabamba,Sarkanjut,2022-10-08 01:46:01,2022-11-19 01:14:04,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Organized web-enabled support
SP-5572,Gryfino,Langchi,2022-11-13 13:01:30,2023-02-16 12:56:23,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Exclusive methodical support
SP-6608,Chernelytsya,Trenggulunan,2023-01-01 21:20:05,2022-10-02 13:48:32,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Virtual grid-enabled neural-net
SP-5369,Pouso Alegre,Xinshi,2023-03-15 19:29:29,2023-03-17 13:26:56,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Seamless client-driven help-desk
SP-1411,Plato,Nowa Ruda,2023-03-04 18:04:04,2023-04-01 12:25:44,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Exclusive static benchmark
SP-5348,Čapljina,Cibungur,2023-08-05 04:03:56,2023-08-07 03:07:37,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Enterprise-wide 24/7 function
SP-4986,Rivera,Amieira,2023-07-28 00:03:40,2022-12-08 21:34:10,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Fully-configurable asynchronous hardware
SP-9239,Roa,Zhongshanlu,2023-04-22 02:42:25,2022-11-19 23:32:05,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Open-architected interactive internet solution
SP-4372,Shirokovskiy,Vitoria-Gasteiz,2023-04-27 20:29:59,2023-02-25 14:11:55,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Centralized grid-enabled process improvement
SP-2464,Gromnik,Xinpeicun,2023-08-27 18:13:50,2023-07-21 05:24:28,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Digitized even-keeled Graphical User Interface
SP-5913,Empório,Taroudant,2023-08-13 10:27:09,2023-04-29 04:14:28,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Networked 6th generation software
